"name","parent","type","size"
"D:\Documents\GB\python_spec\.git\objects\2e\97ef5384215f5f7293b4a80ad7d1050de08a6a","D:\Documents\GB\python_spec\.git\objects\2e","file",625
"D:\Documents\GB\python_spec\.git\objects\2f","D:\Documents\GB\python_spec\.git\objects","dir",1065
"D:\Documents\GB\python_spec\.git\objects\2f\38405f3bfdbb8faee7a3f511b2b6255b9ba8eb","D:\Documents\GB\python_spec\.git\objects\2f","file",444
"D:\Documents\GB\python_spec\.git\objects\2f\fbb85e2a568dcc0ab3c13c0bfdd40d19b68fb4","D:\Documents\GB\python_spec\.git\objects\2f","file",621
"D:\Documents\GB\python_spec\.git\objects\30","D:\Documents\GB\python_spec\.git\objects","dir",1300
"D:\Documents\GB\python_spec\.git\objects\30\44defa9c4b1bfaa2c0f8211c7f4c2c2c60fdd7","D:\Documents\GB\python_spec\.git\objects\30","file",531
"D:\Documents\GB\python_spec\.git\objects\30\6f8cbdfa540487ba9e458565a318df1d3dbbca","D:\Documents\GB\python_spec\.git\objects\30","file",271
"D:\Documents\GB\python_spec\.git\objects\30\d285f4d9ddb9964b93dc1a8b226fee0751692c","D:\Documents\GB\python_spec\.git\objects\30","file",498
"D:\Documents\GB\python_spec\.git\objects\31","D:\Documents\GB\python_spec\.git\objects","dir",1033
"D:\Documents\GB\python_spec\.git\objects\31\45890f3f8c643d5c855dd48f1cd6e308c4434c","D:\Documents\GB\python_spec\.git\objects\31","file",712
"D:\Documents\GB\python_spec\.git\objects\31\b633d4a5538cb3c674c09f4b169c26cc791521","D:\Documents\GB\python_spec\.git\objects\31","file",321
"D:\Documents\GB\python_spec\.git\objects\33","D:\Documents\GB\python_spec\.git\objects","dir",654
"D:\Documents\GB\python_spec\.git\objects\33\347bff23b34b198c20f369ea0c941a8b804fd7","D:\Documents\GB\python_spec\.git\objects\33","file",593
"D:\Documents\GB\python_spec\.git\objects\33\a82b8ace47318d7fbc170e3fd189653822ecfe","D:\Documents\GB\python_spec\.git\objects\33","file",61
"D:\Documents\GB\python_spec\.git\objects\35","D:\Documents\GB\python_spec\.git\objects","dir",290
"D:\Documents\GB\python_spec\.git\objects\35\0193cd23b838d46d8b6a4b0dc81b5b721d69b1","D:\Documents\GB\python_spec\.git\objects\35","file",290
"D:\Documents\GB\python_spec\.git\objects\37","D:\Documents\GB\python_spec\.git\objects","dir",388
"D:\Documents\GB\python_spec\.git\objects\37\19b42ee57141d3d5ee17bb7ad17c0ce3dbb71e","D:\Documents\GB\python_spec\.git\objects\37","file",220
"D:\Documents\GB\python_spec\.git\objects\37\b9ece3620016be4c66f3d034dc0c5d8012fdb4","D:\Documents\GB\python_spec\.git\objects\37","file",168
"D:\Documents\GB\python_spec\.git\objects\38","D:\Documents\GB\python_spec\.git\objects","dir",625
"D:\Documents\GB\python_spec\.git\objects\38\9feb4cf74109de5a8cbe662810c80369c07b00","D:\Documents\GB\python_spec\.git\objects\38","file",625
"D:\Documents\GB\python_spec\.git\objects\3a","D:\Documents\GB\python_spec\.git\objects","dir",786
"D:\Documents\GB\python_spec\.git\objects\3a\9e001609f3bc2e18db7adec5b021a9d548c719","D:\Documents\GB\python_spec\.git\objects\3a","file",338
"D:\Documents\GB\python_spec\.git\objects\3a\d18dc17092b2f2ab0de131c4fcb5ebfd41d8a2","D:\Documents\GB\python_spec\.git\objects\3a","file",448
"D:\Documents\GB\python_spec\.git\objects\3c","D:\Documents\GB\python_spec\.git\objects","dir",420
"D:\Documents\GB\python_spec\.git\objects\3c\b895fbbdd0ed9a674157459d1712dff678c9d9","D:\Documents\GB\python_spec\.git\objects\3c","file",420
"D:\Documents\GB\python_spec\.git\objects\3f","D:\Documents\GB\python_spec\.git\objects","dir",1271
"D:\Documents\GB\python_spec\.git\objects\3f\1b07562e7abd59a5494aad3b7bc40427b3a76f","D:\Documents\GB\python_spec\.git\objects\3f","file",271
"D:\Documents\GB\python_spec\.git\objects\3f\6c83010a76a8129b0fd0e905570520db2a20ee","D:\Documents\GB\python_spec\.git\objects\3f","file",171
"D:\Documents\GB\python_spec\.git\objects\3f\d0b874f98a0560286470455e4c9fff36eae719","D:\Documents\GB\python_spec\.git\objects\3f","file",280
"D:\Documents\GB\python_spec\.git\objects\3f\e4bac763793507911caa8a6843a7ebe4fd890a","D:\Documents\GB\python_spec\.git\objects\3f","file",549
"D:\Documents\GB\python_spec\.git\objects\40","D:\Documents\GB\python_spec\.git\objects","dir",796
"D:\Documents\GB\python_spec\.git\objects\40\1c9b2db9741e42c2eb632f4de3a2203e2ffde0","D:\Documents\GB\python_spec\.git\objects\40","file",176
"D:\Documents\GB\python_spec\.git\objects\40\6f9fb554c8d0ecb2b29b40efdb6a4536c351c3","D:\Documents\GB\python_spec\.git\objects\40","file",620
"D:\Documents\GB\python_spec\.git\objects\42","D:\Documents\GB\python_spec\.git\objects","dir",525
"D:\Documents\GB\python_spec\.git\objects\42\1024bf807475bfffc7672a39c2935c9798d964","D:\Documents\GB\python_spec\.git\objects\42","file",84
"D:\Documents\GB\python_spec\.git\objects\42\e86d350972fc14af6a1cf5a679c8f2678ab5cf","D:\Documents\GB\python_spec\.git\objects\42","file",441
"D:\Documents\GB\python_spec\.git\objects\43","D:\Documents\GB\python_spec\.git\objects","dir",371
"D:\Documents\GB\python_spec\.git\objects\43\6338120579c3b1b0c6635b92d6e3df772c13d2","D:\Documents\GB\python_spec\.git\objects\43","file",371
"D:\Documents\GB\python_spec\.git\objects\45","D:\Documents\GB\python_spec\.git\objects","dir",289
"D:\Documents\GB\python_spec\.git\objects\45\19d1cdbe10a7cd4c9daaad26bdeee2717ea470","D:\Documents\GB\python_spec\.git\objects\45","file",121
"D:\Documents\GB\python_spec\.git\objects\45\6209e6c4d52cde85bf011ece9426d3acc7458b","D:\Documents\GB\python_spec\.git\objects\45","file",168
"D:\Documents\GB\python_spec\.git\objects\46","D:\Documents\GB\python_spec\.git\objects","dir",2467
"D:\Documents\GB\python_spec\.git\objects\46\030be353024aaacb7b7a488847d488ca3c5a49","D:\Documents\GB\python_spec\.git\objects\46","file",920
"D:\Documents\GB\python_spec\.git\objects\46\805a8d577eb929127ab759018f1b0cc8c5ce4f","D:\Documents\GB\python_spec\.git\objects\46","file",625
"D:\Documents\GB\python_spec\.git\objects\46\f2165260e8a8adc5ccc64491f83fe598a70226","D:\Documents\GB\python_spec\.git\objects\46","file",348
"D:\Documents\GB\python_spec\.git\objects\46\f9cfc37214be164b9b6c0326d597d3e20cf5ce","D:\Documents\GB\python_spec\.git\objects\46","file",574
"D:\Documents\GB\python_spec\.git\objects\47","D:\Documents\GB\python_spec\.git\objects","dir",246
"D:\Documents\GB\python_spec\.git\objects\47\fa8c7b67274c78347e0919aee04d67e58d96b7","D:\Documents\GB\python_spec\.git\objects\47","file",246
"D:\Documents\GB\python_spec\.git\objects\48","D:\Documents\GB\python_spec\.git\objects","dir",413
"D:\Documents\GB\python_spec\.git\objects\48\700832b7b6c9cdad3b68d0fc776d4082275185","D:\Documents\GB\python_spec\.git\objects\48","file",133
"D:\Documents\GB\python_spec\.git\objects\48\d4466f1280886d8d44f5d35c9121fab4d760fd","D:\Documents\GB\python_spec\.git\objects\48","file",174
"D:\Documents\GB\python_spec\.git\objects\48\fbd68d8a211f50af03c4aa51df0cb663a97dc5","D:\Documents\GB\python_spec\.git\objects\48","file",106
"D:\Documents\GB\python_spec\.git\objects\49","D:\Documents\GB\python_spec\.git\objects","dir",325
"D:\Documents\GB\python_spec\.git\objects\49\6a672c11af5dcd3d48eb824ee65d618dc40550","D:\Documents\GB\python_spec\.git\objects\49","file",325
"D:\Documents\GB\python_spec\.git\objects\4a","D:\Documents\GB\python_spec\.git\objects","dir",154
"D:\Documents\GB\python_spec\.git\objects\4a\be55da8ccda12f20f5b6bc9ffbce20fddd54f0","D:\Documents\GB\python_spec\.git\objects\4a","file",154
"D:\Documents\GB\python_spec\.git\objects\4b","D:\Documents\GB\python_spec\.git\objects","dir",912
"D:\Documents\GB\python_spec\.git\objects\4b\30b9e56bad6e0d5da8c63d532592d84cc8c2af","D:\Documents\GB\python_spec\.git\objects\4b","file",426
"D:\Documents\GB\python_spec\.git\objects\4b\b8c4e6067bcb41e5c9da7d4bc05c93357228a7","D:\Documents\GB\python_spec\.git\objects\4b","file",486
"D:\Documents\GB\python_spec\.git\objects\4c","D:\Documents\GB\python_spec\.git\objects","dir",79
"D:\Documents\GB\python_spec\.git\objects\4c\780b28b6553bc51485ad9188ec46467f98ce5b","D:\Documents\GB\python_spec\.git\objects\4c","file",79
"D:\Documents\GB\python_spec\.git\objects\4d","D:\Documents\GB\python_spec\.git\objects","dir",92
"D:\Documents\GB\python_spec\.git\objects\4d\fb5b4bae1317ff537878e6b2bf819ee76dd45f","D:\Documents\GB\python_spec\.git\objects\4d","file",92
